,id,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_image_url_https,profile_background_tile,profile_background_image_url,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following_x,ff_ratio,age,following_rate,tweet_rate,mobile_ratio,website_ratio,third_ratio,other_ratio,pagerank,eigenvector,bidirectional_links,reputaion,url_ratio,url_unique_ratio,hashtag_ratio,username_ratio,username_unique_ratio,similarity_ratio_1,similarity_ratio_2,tweet_time_sum,tweet_time_mean,tweet_time_max,tweet_time_min,no_tweet,label,label_model
10,2573584507,2598,27,546,2300,37,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,24,0,0,20.22222222,1065.0,0.512676056,17.79861111,0.0,1.0,0.0,0.0,6.88e-07,0.0,0.0,0.044481054,0.085,0.015,0.5,1.0,0.075,0.194591046,0.006393964,4501267.0,22619.4321608,3772050.0,9.0,0,fake_users,Fake
11,2249386086,1111,117,1194,925,12,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,10.20512821,1248.0,0.956730769,8.669291339,0.0,1.0,0.0,0.0,2.88e-06,0.0,0.003292181,0.088522131,0.085,0.005,0.75,0.95,0.085,0.18995949,0.007901808,15035217.0,75553.8542714,6296811.0,8.0,0,fake_users,Fake
12,3258132036,846,20,673,777,21,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,16,0,0,33.65,690.0,0.975362319,13.62295082,0.0,1.0,0.0,0.0,4.92e-07,0.0,0.001494768,0.029027576,0.09,0.005,0.6,1.0,0.115,0.209142661,0.005396328,13319656.0,66932.9447236,7742892.0,6.0,0,fake_users,Fake
13,3173768984,27,25,1088,11,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,14,0,0,43.52,753.0,1.444887118,-1.0,-1.0,-1.0,-1.0,-1.0,6.39e-07,0.0,0.001823154,0.02228164,0.37037037,0.111111111,0.3,1.0,1.481481481,0.156850962,0.027519588,11787148.0,453351.846154,1561398.0,19349.0,0,fake_users,Fake
14,2342412056,1312,20,657,1154,15,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,13,0,0,32.85,1189.0,0.552565181,11.81481481,0.0,1.0,0.0,0.0,5.17e-07,0.0,0.004504505,0.030567686,0.085,0.015,0.55,1.0,0.115,0.202696251,0.007366015,6919826.0,34772.9949749,2312687.0,11.0,0,fake_users,Fake
15,3204980578,54,15,1067,60,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,4,0,0,71.13333333,753.0,1.416998672,1.5,0.0,1.0,0.0,0.0,3.95e-07,0.0,0.00280112,0.013812155,0.156862745,0.058823529,0.45,1.0,0.843137255,0.16554386,0.029921826,18246202.0,364924.04,3535992.0,8.0,0,fake_users,Fake
16,3346615941,30,13,865,18,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,66.53846154,691.0,1.251808973,1.181818182,0.0,1.0,0.0,0.0,3.46e-07,0.0,0.004550626,0.014573991,0.423076923,0.076923077,0.25,1.0,1.192307692,0.145802048,0.085296673,9674930.0,386997.2,1422130.0,6514.0,0,fake_users,Fake
17,3356721047,321,12,705,277,4,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,18,0,0,58.75,684.0,1.030701754,10.35714286,0.0,1.0,0.0,0.0,3.22e-07,0.0,0.0,0.015873016,0.085,0.005,0.45,0.95,0.1,0.187173117,0.014737265,34629649.0,174018.336683,9256444.0,16.0,0,fake_users,Fake
18,2381432557,16,17,389,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,4,0,0,22.88235294,1164.0,0.33419244,-1.0,-1.0,-1.0,-1.0,-1.0,4.19e-07,0.0,0.002487562,0.035971223,0.588235294,0.176470588,0.352941176,0.705882353,1.058823529,0.084935897,0.001162602,36878977.0,2304936.0625,21864539.0,16.0,0,fake_users,Fake
19,2563024921,1022,24,399,912,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,12,0,0,16.625,1070.0,0.372897196,16.0952381,0.0,1.0,0.0,0.0,5.41e-07,0.0,0.0,0.048611111,0.07,0.015,0.65,1.0,0.14,0.195216231,0.009171843,2577916.0,12954.3517588,1467683.0,9.0,0,fake_users,Fake
