,id,url_unique_ratio,hashtag_ratio,username_ratio,username_unique_ratio,similarity_ratio_1
124,312299420,0.06,0.3,0.45,0.04,0.111141811778
125,15455450,0.0578947368421,0.75,1.0,0.105263157895,0.18254446645
126,2574860244,None,None,None,None,None
127,2402922414,0.121212121212,0.15,0.75,0.545454545455,0.156839622642
128,87334609,0.095,0.75,0.4,0.025,0.137928878844
129,2246800628,0.035,0.0,0.55,0.05,0.105288050158
130,77558505,0.04,0.0,0.5,0.02,0.144453124089
131,2230659451,0.005,0.05,1.0,0.02,0.204629705907
132,812919140,0.05,0.45,0.9,0.065,0.168332702941
133,461572767,0.005,0.0,0.4,0.04,0.134875720886
134,609166669,0.055,0.0,0.85,0.09,0.201612032599
135,28588774,0.04,0.0,0.6,0.045,0.123641687113
136,13260592,0.085,0.65,0.75,0.18,0.137438786288
137,756433608,0.05,0.0,0.9,0.085,0.161339548233
138,16142914,0.05,0.3,0.2,0.02,0.112556432958
139,47637732,0.03,0.2,0.75,0.075,0.126528707734
140,313789678,0.075,0.15,1.0,0.1,0.163603091654
141,31135311,0.08,0.75,0.6,0.105,0.139334150293
142,379274779,0.025,0.0,0.55,0.045,0.101355340672
143,1021352646,0.05,0.1,0.95,0.105,0.192299988939
144,3031860812,0.1875,0.65,0.8,0.140625,0.173561129286
145,27292659,0.035,0.1,1.0,0.06,0.120196718823
146,36381609,0.085,0.35,0.9,0.11,0.128451823593
147,1403557327,None,None,None,None,None
148,43573115,0.1,0.1,0.55,0.025,0.107849104678
149,245812733,0.05,0.2,0.55,0.04,0.109730425769
150,7246122,0.03,0.25,0.9,0.13,0.133875484292
151,278866572,0.0,0.0,0.95,0.09,0.146536037502
152,2810008564,None,None,None,None,None
153,2339482580,0.035,0.0,0.9,0.065,0.195180803796
154,6834152,0.075,0.15,0.8,0.145,0.15176160654
155,116537112,0.05,0.35,1.0,0.105,0.117812518836
156,159691975,0.065,0.25,0.9,0.07,0.185397754904
157,256741082,0.045,0.05,0.7,0.045,0.118154739583
158,595387862,0.025,0.05,0.4,0.055,0.132413423804
159,9664862,0.1,0.8,0.9,0.085,0.096996311184
160,5682702,0.0,0.15,0.1,0.01,0.105238707631
161,151289371,0.045,0.25,0.9,0.1,0.127123822379
162,15595027,0.005,0.05,0.65,0.055,0.14022996603
163,330169460,0.075,0.0,0.85,0.085,0.197662710584
164,876297067,0.025,0.05,0.9,0.045,0.119172586431
165,806975,0.09,0.25,0.25,0.05,0.0972934656882
166,463045937,0.0,0.1,0.05,0.0,0.20299988608
167,34308947,0.035,0.2,0.4,0.045,0.15347385897
168,516091870,0.0,0.0,0.45,0.025,0.12789364261
169,2209565230,0.05,0.0,0.85,0.08,0.187185011985
170,209439268,0.09,0.05,0.4,0.05,0.118035632709
171,533547779,0.035,0.05,0.6,0.045,0.142485842249
172,55769013,0.01,0.4,0.7,0.065,0.119117503931
173,632685533,0.176470588235,0.0588235294118,0.882352941176,0.529411764706,0.158163265306
174,1617515642,0.055,0.0,0.95,0.09,0.202645714215
175,456150594,0.06,0.05,0.7,0.065,0.116254399288
176,1136566969,0.035,0.5,0.85,0.075,0.126857184362
177,1192626410,0.055,0.05,0.9,0.09,0.187005296754
178,742326175,0.005,0.05,0.1,0.01,0.0920395280624
179,564336147,0.045,0.0,0.35,0.05,0.14297835943
180,589910604,0.035,0.0,0.35,0.02,0.13261611609
181,2347555622,0.05,0.3,0.65,0.1,0.145102965809
182,797268164,0.005,0.1,0.35,0.025,0.0997538781581
183,23808818,0.075,0.25,0.5,0.03,0.141255621813
184,7046912,0.065,0.45,0.8,0.13,0.143170547962
185,2808620294,None,None,None,None,None
186,3888491,0.065,0.2,0.85,0.09,0.120396354065
187,1148751751,0.07,0.2,0.8,0.09,0.136186663261
188,635818294,0.05,0.35,0.75,0.075,0.143160975198
189,2331598592,0.085,0.5,0.6,0.05,0.120725082904
190,2193114259,0.045,0.0,0.8,0.065,0.172291300601
191,79168933,0.07,0.3,0.7,0.08,0.0871263368123
192,206570295,0.03,0.3,0.95,0.05,0.183680808623
193,572969576,0.065,0.0,0.85,0.07,0.204380278553
194,347709470,0.07,0.1,0.65,0.045,0.125544767578
195,62739096,0.04,0.6,0.8,0.075,0.120172978504
196,84482024,0.015,0.35,1.0,0.085,0.146024494768
197,14824425,0.07,0.15,0.85,0.095,0.126672700177
198,412767501,0.025,0.1,0.6,0.055,0.108859875226
199,30759478,0.075,0.15,0.95,0.1,0.166575062814
200,45859110,0.035,0.05,0.65,0.045,0.117788564392
201,84464758,0.085,0.1,0.6,0.08,0.137652773261
202,2730458366,0.04,0.0,0.35,0.035,0.130059862723
203,2967176515,0.055,0.0,0.75,0.04,0.131075223445
204,593724411,0.07,0.0,0.1,0.015,0.082964464898
205,43964510,0.07,0.15,0.5,0.05,0.0994006919845
206,52660118,0.04,0.1,0.85,0.06,0.130504005174
207,2925459516,0.065,0.4,0.85,0.055,0.165445261921
208,144976887,0.075,0.5,0.75,0.06,0.135085706545
209,568015457,0.04,0.0,0.75,0.065,0.130983866702
210,90229508,0.05,0.4,1.0,0.095,0.136024742819
211,2739111941,None,None,None,None,None
212,2828821663,None,None,None,None,None
213,29710654,0.025,0.0,0.7,0.035,0.141499128126
214,17748368,0.035,0.1,0.8,0.06,0.158138018336
215,48552476,0.035,0.0,0.9,0.06,0.141439130384
216,496168830,0.08,0.15,0.15,0.01,0.11148875928
217,3054142278,0.07,0.8,0.8,0.08,0.125480273859
218,406817411,0.03,0.0,0.65,0.075,0.141268426959
219,14443013,0.065,0.5,0.45,0.07,0.10896881745
220,69843045,0.0,0.2,1.0,0.12,0.12028576716
221,74602378,0.0,0.0,0.1,0.01,0.128049887994
222,2662897087,0.01,0.0,0.2,0.02,0.0652753965908
223,1476770959,0.085,0.0,0.95,0.08,0.160194463441
224,126921664,0.03,0.1,0.1,0.01,0.122029612576
225,29115886,0.085,0.05,0.2,0.025,0.11002102597
226,451417227,0.025,0.05,0.85,0.05,0.125501091619
227,340396112,0.05,0.35,0.8,0.085,0.124728501844
228,115785153,0.02,0.0,0.6,0.045,0.125598406232
229,704248286,0.025,0.05,0.5,0.075,0.149975228254
230,1547325224,0.03,0.1,0.75,0.08,0.207353299706
231,21634018,0.03,0.2,1.0,0.125,0.105160327297
232,977387497,0.05,0.0,1.0,0.105,0.170562408
233,302841108,0.07,0.8,0.25,0.03,0.191040329338
234,14573824,0.06,0.0,0.6,0.045,0.109182862448
235,3873101,0.015,0.15,0.15,0.01,0.0263177750615
236,853279890,0.065,0.0,0.85,0.075,0.153513818276
237,149587895,0.07,0.7,0.85,0.1,0.10648714264
238,19190434,0.05,0.25,0.6,0.085,0.10853784367
239,315478329,0.08,0.0,0.95,0.09,0.220792435699
240,405166123,0.075,0.0,0.1,0.015,0.128854340066
241,2471671369,0.005,0.0,0.05,0.0,0.182759170912
242,601401812,0.075,0.0,0.8,0.07,0.177258592837
243,531212295,0.1,0.35,0.2,0.005,0.138998440478
244,33999110,0.095,0.2,0.7,0.025,0.113850297238
245,2881123344,None,None,None,None,None
246,50598277,0.06,0.3,0.85,0.09,0.144814784783
247,80988429,0.035,0.0,0.1,0.01,0.196629653155
248,541506684,0.03,0.0,0.05,0.0,0.110136604347
249,430588488,0.03,0.4,0.8,0.065,0.148800089576
250,182276961,0.05,0.15,0.6,0.05,0.129859825443
251,1655718626,0.075,0.6,0.85,0.105,0.159352535672
252,1465761582,0.0,0.05,0.1,0.01,0.110135422877
253,503262878,0.04,0.35,0.85,0.08,0.145721885988
254,1580923315,0.02,0.0,0.2,0.02,0.100819713184
255,2988136898,0.1,0.0,0.05,0.015,0.231618023737
256,2807953832,None,None,None,None,None
257,170185613,0.03,0.0,0.8,0.065,0.080821603045
258,51465730,0.035,0.3,0.5,0.05,0.12795388807
259,2260634148,0.015,0.15,0.8,0.03,0.167160244041
260,1890978697,0.0,0.15,0.15,0.005,0.115793323547
